,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
2330,コナミスポーツクラブ鈴鹿,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2331,香遊館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2332,天然温泉ロックの湯,0,1,対象：男女,88,21,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2333,大久保湯,0,3,対象：男女,100,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
2334,田代の郷温泉 伊太和里の湯,1,4,対象：男女,90,20,82,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
2335,美人湯 祥風苑,7,10,対象：男女,89,17,87,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
2336,エキチカ温泉 くろしお,4,19,対象：男女,85,25,85,25,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
2337,大成温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2338,天然湧湯 吟湯 湯治聚落,15,15,対象：男女,90,-,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2339,癒しの里 小京都の湯,15,18,対象：男女,85,17,90,17,ok,ok,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok
2340,ABBA RESROTS IZU - 坐漁荘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2341,たけべ八幡温泉,0,0,対象：男女,100,25,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
