,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
4506,ティップネス丸の内スタイル,0,4,対象：男女,90,19,?,?,ng,ok,ng,ng,ng,ng,-,-,-,-,-,-
4508,シングル・イン(單人房住宿空間高雄館),2,2,対象：男女,88,16,50,28,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4511,泰澄の杜,0,1,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4512,ピートダイゴルフクラブ VIPコース【PGM】,1,1,対象：男女,87,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4513,別府温泉 カプセルホテルニューグロリア(てんぐの湯),3,2,対象：男女,90,23,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4514,スポーツクラブNAS篠崎,1,18,対象：男女,90,18,86,-,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
4517,雲仙 湯元ホテル,0,1,対象：男女,86,19,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4518,湯快リゾート 雲仙温泉 雲仙東洋館,0,1,対象：男女,88,19,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4519,笹屋ホテル,0,1,対象：男女,86,15,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4520,志摩観光ホテル ザ ベイスイート,1,1,対象：男女,100,19,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4521,長喜温泉,12,17,対象：男女,123,14.3,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4523,くわな湯,2,3,対象：男女,80,15,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4524,悠湯の郷 ゆさ,0,2,対象：男女,60,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
